,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
7495,7495.0,173.0,1831.6249827779832,3022.224435083568,179.0,1.0,1837.3057829253376,3027.635235223919,1825.9441826306283,3016.813634943217,578.8069010674109
2476,2476.0,188.0,1135.4083455204966,2804.1606478579347,90.0,1.0,1143.0871457196772,2809.733448002488,1127.7295453213155,2798.5878477133806,689.2675528779013
50469,50469.0,143.0,5517.650826059282,5138.710336275399,807.0,1.0,5523.60162621364,5144.445136424154,5511.700025904925,5132.975536126643,650.3480487788306
43427,43427.0,80.0,5046.270944647491,1573.6831649169324,706.0,1.0,5049.737744737417,1578.661965046078,5042.8041445575645,1568.7043647877872,288.8190841033898
50887,50887.0,78.0,5552.854632358998,6301.6045031137755,813.0,1.0,5556.267432447523,6306.205303233117,5549.441832270472,6297.003702994436,278.5197132490777
42220,42220.0,359.0,5013.663527622819,4718.631125167011,691.0,1.0,5020.910327810794,4725.877925354987,5006.416727434844,4711.384324979037,1073.3572608037507
24864,24864.0,115.0,3648.6245038211355,1932.909427203238,447.0,1.0,3652.631303925067,1937.4562273211773,3644.617703717202,1928.3626270852985,436.030435740437
41619,41619.0,267.0,4920.833065211773,6254.743529524654,683.0,1.0,4927.4318653829405,6261.3963296972215,4914.234265040606,6248.090729352088,958.9579092689281
57011,57011.0,100.0,6255.752179343253,2012.1674650199714,915.0,1.0,6263.808979552239,2019.5762652121484,6247.695379134268,2004.7586648277936,565.6672294257494
32573,32573.0,226.0,4238.861711062491,3111.8406178727746,559.0,1.0,4245.136511225253,3116.81941800192,4232.586910899729,3106.861817743629,592.889082277968
69403,69403.0,118.0,7501.312950860709,3677.697960924357,1112.0,1.0,7506.885751005262,3684.674761105329,7495.740150716156,3670.7211607433856,647.5378411130424
25632,25632.0,58.0,3482.5443330481653,4695.891605764628,460.0,1.0,3485.795133132488,4700.330405879767,3479.293532963842,4691.452805649489,213.9526464594599
18357,18357.0,184.0,2904.1123242378235,5276.027917955071,345.0,1.0,2909.631124380976,5281.924718108028,2898.593524094671,5270.131117802113,680.1836292066445
4642,4642.0,184.0,1357.9823223799467,2410.805181182921,127.0,1.0,1363.2851225174966,2415.7839813120668,1352.679522242397,2405.8263810537755,548.7974103905749
29671,29671.0,120.0,4095.096366852522,3123.6180557943876,520.0,1.0,4102.343167040497,3133.510856050998,4087.849566664546,3113.7252555377777,986.787048312652
38135,38135.0,52.0,4521.789410486817,2074.932777058333,634.0,1.0,4528.4962106607845,2080.397577200085,4515.082610312849,2069.467976916581,201.34765260553647
7256,7256.0,101.0,1679.6095017455518,3748.2804818302393,175.0,1.0,1684.8583018817008,3755.6352820210163,1674.3607016094031,3740.9256816394627,526.799863409384
50149,50149.0,284.0,5481.332726873457,4091.59953442961,802.0,1.0,5486.85152701661,4097.766334589571,5475.813926730305,4085.4327342696492,752.8270249752456
77768,77768.0,64.0,8283.625832520425,2810.3587200529882,1241.0,1.0,8289.684632677585,2814.8515201695263,8277.567032363266,2805.8659199364483,401.1297630498558
51872,51872.0,79.0,5760.541568730026,4186.359673466533,834.0,1.0,5764.818368840964,4189.772473555058,5756.264768619089,4182.946873378009,277.93132273855304
23312,23312.0,107.0,3450.269543401897,2810.698914512992,422.0,1.0,3457.192343581468,2819.1337147317827,3443.346743222326,2802.264114294201,1022.5646205687249
75125,75125.0,200.0,7997.990631811321,3901.173742454499,1201.0,1.0,8005.453432004899,3906.314542587848,7990.527831617743,3896.032942321152,654.63596868128
7397,7397.0,277.0,1740.8488115817306,3205.4399775564675,178.0,1.0,1748.635611783713,3212.5787777416413,1733.0620113797486,3198.301177371293,838.0839876382173
24472,24472.0,231.0,3554.679672650993,1070.6039919964971,442.0,1.0,3563.0064728669818,1076.2847921438515,3546.3528724350035,1064.9231918491423,917.5536231209517
65068,65068.0,104.0,6978.315327093005,4544.838636573404,1041.0,1.0,6983.5101272277525,4548.1434366591275,6973.120526958257,4541.533836487682,313.2067597685762
17408,17408.0,230.0,2852.3761359341443,3746.339672707021,327.0,1.0,2860.0009361319244,3753.802472900599,2844.751335736364,3738.876872513443,1193.152379018496
70320,70320.0,249.0,7564.513512406498,1501.4732783026989,1128.0,1.0,7572.6783126182845,1512.2300785817206,7556.348712194711,1490.716478023678,1485.2572120923435
21166,21166.0,81.0,3265.7689072266216,3086.8776294514532,385.0,1.0,3270.0997073389585,3092.180429589004,3261.4381071142852,3081.5748293139036,405.90057257735634
32895,32895.0,137.0,4275.491969335824,2301.26605528593,563.0,1.0,4280.416769463569,2307.540855448693,4270.56716920808,2294.9912551231682,574.2890837130349
31495,31495.0,145.0,4067.1244465969507,5987.385934505612,544.0,1.0,4071.8332467190917,5991.662734616548,4062.415646474809,5983.109134394676,439.72034233186235
51135,51135.0,124.0,5813.865700609982,6906.033155128361,820.0,1.0,5819.276500750333,6911.551955271512,5808.454900469631,6900.514354985207,601.670325133522
53282,53282.0,92.0,6006.704927481712,1061.4131965972483,857.0,1.0,6014.167727675289,1071.0899968482554,5999.242127288134,1051.7363963462412,364.66757227826616
37844,37844.0,75.0,4657.967566847801,2949.4108179025347,630.0,1.0,4665.430367041379,2956.711618091911,4650.504766654223,2942.1100177131602,995.0189167397052
32176,32176.0,270.0,4228.545713447034,4217.099560502917,553.0,1.0,4234.388513598591,4222.780360650271,4222.702913295478,4211.418760355562,700.6294558673351
12916,12916.0,52.0,2446.1805412694807,2469.794690061361,259.0,1.0,2456.559341538697,2477.0954902507365,2435.801741000265,2462.4938898719847,1223.6832505223801
35901,35901.0,165.0,4231.254133116454,6076.339198451489,605.0,1.0,4236.718933258207,6080.93999857083,4225.789332974702,6071.738398332149,393.47316313264633
27609,27609.0,149.0,3764.442590180785,3135.6569216568023,488.0,1.0,3770.555390339345,3142.3043218292296,3758.329790022224,3129.009521484375,885.4118948134998
37310,37310.0,240.0,4464.1348010487845,4394.088063593954,622.0,1.0,4471.7596012465665,4402.468863811344,4456.510000851005,4385.707263376564,1073.0512557478758
69318,69318.0,177.0,7361.225853603332,3978.9543639048934,1111.0,1.0,7368.526653792709,3985.7691640816633,7353.925053413957,3972.139563728124,746.0315782227115
45777,45777.0,72.0,5184.83264035359,5053.677654579282,739.0,1.0,5189.757440481335,5058.980454716831,5179.907840225846,5048.374854441732,287.24391914167285
