,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
3673,3673.0,176.0,1311.74095672369,5467.874789610505,112.0,1.0,1317.5837568752468,5473.933589767665,1305.898156572133,5461.8159894533455,653.4479902196495
15174,15174.0,99.0,2590.7667590081687,3152.559848852456,294.0,1.0,2596.609559159726,3157.754648987204,2584.9239588566124,3147.3650487177074,559.6414317531428
72139,72139.0,221.0,7543.855221711098,6317.102611836046,1152.0,1.0,7549.806021865456,6324.727412033826,7537.904421556741,6309.477811638267,812.6021120762657
40329,40329.0,64.0,4710.751610688865,4313.398058816791,666.0,1.0,4713.894410770386,4317.18885891512,4707.608810607344,4309.607258718462,203.24036998372728
6338,6338.0,170.0,1444.4870564974844,5346.489278562367,158.0,1.0,1451.8958566896615,5350.928078677505,1437.0782563053074,5342.050478447229,659.6209292598905
15010,15010.0,155.0,2584.047860763967,3927.6296407673512,291.0,1.0,2590.430660929531,3932.3870408907533,2577.665060598403,3922.872240643948,565.9170723187108
17525,17525.0,219.0,2804.361568517983,4149.678821183741,329.0,1.0,2810.6363686807454,4156.277621354908,2798.086768355221,4143.0800210125735,860.2052313458255
34669,34669.0,81.0,4443.199715033174,3023.7301194146285,590.0,1.0,4448.178515162319,3028.2769195325677,4438.220914904027,3019.1833192966883,425.5267115955235
46463,46463.0,125.0,5334.752764895557,6782.16021990031,750.0,1.0,5345.563565175979,6789.407020088285,5323.941964615136,6774.913419712335,959.5807669012407
62074,62074.0,242.0,6776.283883899449,1416.8595157451928,997.0,1.0,6781.262684028597,1423.4043159149587,6771.305083770305,1410.3147155754266,562.7698916754409
11875,11875.0,57.0,2135.452625844628,1691.2659066170456,243.0,1.0,2141.7814260087907,1695.3807067237797,2129.1238256804645,1687.1511065103116,263.5181171908231
22005,22005.0,208.0,3074.8388960622246,5795.085513342172,399.0,1.0,3081.815696243197,5803.034313548355,3067.862095881253,5787.1367131359875,998.4096417156096
13273,13273.0,239.0,2281.737711422145,3427.4879739135504,264.0,1.0,2291.4685116745527,3435.598774123937,2272.0069111697376,3419.377173703164,977.8787844905073
43556,43556.0,96.0,5008.554861519486,1434.5283989608288,707.0,1.0,5012.939661633223,1439.9391991011798,5004.170061405748,1429.1175988204775,330.65237219362183
1003,1003.0,285.0,958.5302363410593,5394.940440263599,61.0,1.0,965.8850365318358,5401.377240430564,951.1754361502826,5388.5036400966355,947.3493126666963
14753,14753.0,231.0,2609.7000709697604,4896.972809396684,286.0,1.0,2617.054871160537,4906.5956096462905,2602.3452707789843,4887.350009147078,1205.444019496163
980,980.0,140.0,946.5465589016676,5620.593249496073,60.0,1.0,952.9293590672314,5627.24604966864,940.1637587361038,5613.940449323504,870.6013550851569
54270,54270.0,109.0,5876.692629028112,4118.008710667491,872.0,1.0,5880.969429139048,4125.57951086387,5872.415828917176,4110.437910471112,310.70133243859954
19651,19651.0,88.0,2998.4493169225752,1814.3718915209167,362.0,1.0,3002.2941170223053,1818.486691627652,2994.6045168228447,1810.257091414184,327.0653420875333
61823,61823.0,74.0,6549.834775077179,878.4817240908742,991.0,1.0,6552.810175154358,884.0005242340268,6546.859375,872.9629239477217,386.7965142262741
30908,30908.0,192.0,4023.1306368540972,6442.302592031658,537.0,1.0,4028.1580369845033,6449.657392222434,4018.1032367236908,6434.947791840881,723.1122544337005
31784,31784.0,78.0,4182.0138339959085,5474.967034492643,547.0,1.0,4186.506634112448,5478.379834581167,4177.5210338793695,5471.554234404117,197.32497207684762
11534,11534.0,355.0,2246.2370003014803,2445.647043030709,239.0,1.0,2257.479800593108,2453.595843236893,2234.9942000098526,2437.698242824525,1264.2472037467612
29366,29366.0,117.0,4114.74709383212,2318.5462003536522,516.0,1.0,4121.826494015753,2326.063000548631,4107.667693648487,2311.029400158673,877.6771752522376
13675,13675.0,399.0,2360.587274700403,4593.1049162223935,270.0,1.0,2367.8340748883784,4601.97171645239,2353.340474512428,4584.238115992397,1019.140653191095
71483,71483.0,73.0,7631.720461111516,4332.545315686613,1142.0,1.0,7635.997261222453,4335.202115755528,7627.44366100058,4329.8885156176975,236.8559614076408
83287,83287.0,112.0,9237.404269628227,4311.501724559814,1349.0,1.0,9243.463069785386,4320.530524794011,9231.345469471069,4302.472924325615,900.6612342446068
33511,33511.0,90.0,4280.545601300895,674.4643210098147,571.0,1.0,4284.552401404828,677.607121091336,4276.538801196963,671.3215209282936,263.1139595698561
60868,60868.0,151.0,6623.589206751436,3702.9506279975176,977.0,1.0,6629.918006915599,3709.009428154677,6617.260406587273,3696.8918278403585,544.7680813815417
26748,26748.0,210.0,3699.9805802218616,5775.930840656161,475.0,1.0,3706.7413803972304,5782.637640830129,3693.219780046493,5769.224040482193,898.8521477507553
49850,49850.0,402.0,5634.354433491826,3266.288164760917,798.0,1.0,5640.305233646184,3277.584965053946,5628.403633337468,3254.9913644678886,1457.254512719617
48147,48147.0,209.0,5395.494013831019,2127.318112961948,773.0,1.0,5403.92881404981,2134.1329131387174,5387.059213612229,2120.5033127851784,1259.623185666876
40881,40881.0,76.0,4696.765767395496,5693.737331513315,673.0,1.0,4699.476567465812,5698.446131635456,4694.054967325182,5689.0285313911745,174.73676010501362
67595,67595.0,302.0,7229.851359885186,4898.185635197908,1081.0,1.0,7242.444160211831,4908.726435471326,7217.2585595585415,4887.644834924489,1254.7402267735574
26445,26445.0,260.0,3675.205433562398,6584.902508594096,471.0,1.0,3681.48023372516,6592.905308801681,3668.930633399636,6576.8997083865115,966.2117512452439
48110,48110.0,146.0,5425.734260831028,2286.780200742185,772.0,1.0,5432.171060997993,2294.1350009329612,5419.297460664064,2279.4254005514085,717.7968818779484
15159,15159.0,86.0,2468.504220420495,3493.1758797988296,293.0,1.0,2472.667620528489,3500.5306799896057,2464.3408203125,3485.821079608053,578.2771221599279
75744,75744.0,188.0,7896.613102782519,5604.670668698846,1209.0,1.0,7902.509902935475,5609.649468827994,7890.716302629559,5599.691868569702,644.9204393772562
42460,42460.0,127.0,5046.481567185372,4117.523771714419,694.0,1.0,5050.5423672907045,4121.800571825355,5042.420767080039,4113.246971603483,435.8099861290005
51427,51427.0,94.0,5755.272682830691,5798.949007978664,826.0,1.0,5759.927482951433,5802.788408078253,5750.61788270995,5795.109607879072,382.4058927984968
17250,17250.0,158.0,2751.7567345425487,3192.4842404313385,324.0,1.0,2766.6715349294245,3200.0010406263173,2736.841934155673,3184.96744023636,1353.3965017316584
23517,23517.0,255.0,3495.4492649510503,2159.33896015957,425.0,1.0,3503.236065153032,2166.747760351748,3487.662464749068,2151.9301599673927,1025.3937239154936
69347,69347.0,219.0,7350.911853335799,3980.412363942713,1111.0,1.0,7358.374653529376,3989.3331641741097,7343.449053142221,3971.4915637113145,1413.3465488417544
68552,68552.0,67.0,7328.659834388643,5960.045894339682,1101.0,1.0,7333.368634510785,5963.6206944324085,7323.951034266502,5956.471094246955,181.2003077203304
5724,5724.0,65.0,1536.973950326443,3351.0596539601684,148.0,1.0,1540.3327504135668,3355.714454080909,1533.6151502393186,3346.404853839427,195.46742166048136
6047,6047.0,104.0,1450.6398002319038,4504.721278905869,153.0,1.0,1459.6686004661026,4512.940079119057,1441.6109999977054,4496.5024786926815,928.2863699177467
56913,56913.0,162.0,6300.479141678661,2475.9842390567064,913.0,1.0,6310.2639419324705,2484.6350392811,6290.6943414248535,2467.333438832313,1181.4792221729142
14265,14265.0,174.0,2293.293506305665,6154.049481250346,278.0,1.0,2298.6503064446147,6159.8922814019015,2287.9367061667144,6148.206681098789,665.4712420433932
22530,22530.0,300.0,3394.900045290589,5315.8776063025,410.0,1.0,3401.0668454505503,5322.368406470865,3388.733245130629,5309.386806134135,975.7523205401907
53425,53425.0,75.0,6064.009765151888,1496.7439225353303,859.0,1.0,6067.854565251619,1501.452722657472,6060.164965052159,1492.0351224131882,183.90204018049118
60020,60020.0,101.0,6605.895465541631,6286.565494161098,964.0,1.0,6613.41226573661,6292.570294316858,6598.378665346651,6280.560694005339,436.44334136185785
53673,53673.0,60.0,5943.564129687846,2380.50257239677,863.0,1.0,5948.326929811388,2385.6919725313783,5938.801329564303,2375.313172262162,427.9030184388018
71878,71878.0,587.0,7594.406574014574,5328.60118259117,1147.0,1.0,7605.055374290793,5336.11798278615,7583.757773738354,5321.08438239619,1645.0180952604385
9722,9722.0,240.0,1887.7990095689893,5202.770443916321,214.0,1.0,1896.1258097849786,5214.661244224757,1879.472209353,5190.879643607886,1618.9962931104749
35521,35521.0,71.0,4371.48796441406,5279.692425187677,601.0,1.0,4376.250764537604,5283.969225298613,4366.7251642905185,5275.415625076741,262.54254018021203
74715,74715.0,59.0,8090.04123114422,2689.3847463019188,1195.0,1.0,8094.858031269163,2693.7695464156573,8085.224431019276,2684.9999461881816,364.6255818760878
1351,1351.0,163.0,1025.373597856611,4295.8143417369565,66.0,1.0,1041.6383982785046,4308.563742067665,1009.1087974347174,4283.06494140625,1572.2841576871335
75341,75341.0,56.0,7923.598094958812,4408.516739334911,1203.0,1.0,7928.1988950781515,4412.037539426237,7918.997294839472,4404.995939243585,182.6481017954393
41038,41038.0,191.0,4807.073454082011,6124.521265860647,675.0,1.0,4812.160254213959,6130.310066010803,4801.9866539500645,6118.732465710491,531.0564654702082
32727,32727.0,73.0,4222.997669391334,2703.831941980869,561.0,1.0,4227.976469520479,2707.0287420637906,4218.018869262189,2700.6351418979466,236.00303136339218
41077,41077.0,128.0,4735.577452227473,6064.581264305861,675.0,1.0,4741.744252387434,6069.398064430803,4729.410652067512,6059.764464180917,322.155964232844
31697,31697.0,90.0,4061.260176684707,5696.134714704008,546.0,1.0,4065.104976784438,5700.195514809339,4057.415376584977,5692.0739145986745,304.5602361200108
72018,72018.0,88.0,7533.505627360195,5811.311563588679,1149.0,1.0,7537.566427465528,5813.914363656193,7529.4448272548625,5808.708763521165,146.8985231408184
75304,75304.0,158.0,7969.444096148014,4236.526734873653,1203.0,1.0,7977.014896344394,4249.1735352016985,7961.873295951635,4223.879934545606,831.9203214784571
76881,76881.0,328.0,8193.412655580789,4680.789317891003,1231.0,1.0,8201.90145580098,4686.848118048161,8184.923855360597,4674.730517733842,1276.2198921278828
8979,8979.0,139.0,1887.7125433385368,2735.3398156017065,202.0,1.0,1891.503343436867,2740.2106157280505,1883.9217432402081,2730.4690154753625,429.399451396434
